Gene_Human	d0_183	d0_184	d7_192	d7_193
HYPK	0	0	6.113920362	6.16564779
ISG15	5.199995569	5.388373299	677.300235	961.8475798
OAS1	0.605008911	1.47327675	116.3872803	190.9734144
APOBEC3A	0.553618193	0.43576034	32.44109861	72.0400434
PLA2G4C	1.008584609	0	37.68567602	46.70981593
RSAD2	3.611213873	0.874071498	173.4122984	175.047132
IFIT2	35.9351915	10.07916711	1011.900658	1763.541436
FCGR1A	0.063501821	0.962175427	9.578261903	52.54508129
OAS2	10.13540825	3.327043144	233.7591458	288.8011338
IFI44L	5.553168633	1.38317732	113.6039337	143.9507642
MS4A6E	1.832873603	0	32.56385366	34.83318185
GBP2	15.01556144	2.667022531	227.8182954	365.8824734
SECTM1	8.423013402	0.954007076	84.82950607	217.6690262
USP18	3.276413121	0.152516119	41.55663216	54.27674503
GBP1	61.67309585	32.90318075	992.5892251	1823.72726
HERC5	9.996130084	7.581903092	242.8773126	284.4126252
CMPK2	2.684281133	0.983632296	56.68747259	44.15522017
IFI27	5.840205399	0.653870018	50.78488293	118.0122801
HSPA1B	12.98796303	5.341517879	174.2576624	318.3246815
OAS3	10.81444103	3.423045529	162.565753	198.0780694
MX1	35.19501837	17.29731723	611.8525025	723.1726241
GBP6	4.090718786	1.605759138	37.42739686	101.4895703
APOL6	7.480938903	1.527037156	58.07141892	146.0605234
IFI6	63.52094146	25.43718867	980.5239107	1108.573501
IFIT3	107.0282371	45.93203354	1636.37292	1935.333297
HSPA1A	19.1618312	7.011022388	201.0406582	402.3798456
OASL	10.53018807	2.661486759	169.932474	128.0892993
IFI44	13.14584727	1.962868209	163.2864971	155.5175265
MX2	21.421689	8.440362775	377.8481229	281.0705827
IRF7	8.046618514	4.3216118	114.569286	155.0835466
EPSTI1	16.33432368	3.25343964	155.3092168	233.8769725
GBP3	9.1356124	2.898001722	70.81002909	169.5716016
SLFN13	2.151784762	1.534914522	23.43555732	50.62151848
DDX58	13.12721908	7.757490469	160.0776019	231.9057058
DDX60	10.50198573	4.104424974	107.7079102	154.9717681
CASP5	2.404255253	4.625919732	38.20831325	93.01320095
APOL2	21.47811371	7.341642067	127.8149344	323.2036771
LGALS3BP	6.441683894	2.388456983	51.62475608	77.57284779
IL1RN	4.167575129	2.041909882	20.40738683	71.06927922
SVIP	2.144679024	0	16.96886056	10.29866444
GBP6	29.20171198	11.01867356	140.015204	351.7151539
DHX58	8.02881611	4.927901263	69.4026356	90.35191313
SLFN12	4.718405875	4.235269857	65.08895963	43.3955972
CORO2A	0.446225452	2.575687154	13.54010805	26.35293621
HP	0.605598588	0.403340224	3.732853734	7.124748558
HERC6	10.85157564	5.357582595	69.10960815	99.9748105
SOCS3	4.335451022	9.956569424	26.54120215	137.3185638
DHRS9	2.550521167	3.019166362	28.64635383	32.57389135
MR1	2.883005206	0.78005546	10.74151483	26.24606411
TWIST2	1.335904769	3.052295931	22.91368008	26.52705679
EIF2AK2	12.67447296	6.735091165	85.07193813	114.9290356
SPATS2L	3.569008977	2.524867683	10.38089635	53.0101119
RTP4	6.954109351	0.716790536	26.9253818	44.61723932
PLSCR1	20.34062926	11.08465364	79.50373019	231.0378306
IFIH1	23.11870652	12.0163744	132.3413318	185.5191864
XAF1	15.83541314	2.321972334	68.98312762	73.00347891
DTX3L	28.30785195	14.94039411	165.0323913	194.0906777
FBXO6	2.098347979	2.460252394	9.203867697	30.36850075
PML	4.102694819	1.199769592	17.72683499	24.33104122
UBE2L6	27.12517261	8.527122841	107.7635063	174.5817884
RNF213	58.88743462	17.67777243	212.956432	387.871775
IDO1	12.94466982	23.09302842	87.13174644	221.7989032
TIFA	9.507747561	1.668657538	11.9608921	71.18813372
LIG1	2.671537515	0.995384292	14.0891453	14.05890374
CD274	10.41432793	5.063107878	40.08912973	78.46812932
ODF3B	3.361253312	3.680618584	19.05882771	35.29096115
ARMCX1	3.474137072	3.076357619	6.761142208	42.93681069
DDX60L	60.2353646	20.65327368	238.6709467	338.4206574
SLFN5	51.09676911	10.80190632	162.227589	253.1267458
PLAC8	95.08922808	95.91171262	354.746162	1057.093618
PARP14	66.37157024	25.10022814	265.0294362	362.476965
IFITM1	131.5728217	72.67473622	541.8827895	884.07797
